"","Player_id","Player","year","team","games_in_season","num_games_missing","num_games_injured","injury_types","earliest_injury","latest_injury"
"all_info","AdamMi98","Adams,Michael","2009","crd",18,0,3,"hamstring",8,14
"all_info.1","BankJa00","Banks,Jason","2009","crd",18,2,2,"ankle",17,18
"all_info.2","BerrBe99","Berry,Bertrand","2009","crd",18,0,1,"illness",13,13
"all_info.3","BoldAn00","Boldin,Anquan","2009","crd",18,3,8,"hamstring  ankle ankle/knee",1,18
"all_info.4","BranAl99","Branch,Alan","2009","crd",18,0,1,"ankle",13,13
"all_info.5","BreaSt00","Breaston,Steve","2009","crd",18,1,11,"knee",1,11
"all_info.6","BrowCo96","Brown,Cody","2009","crd",18,18,18,"wrist",1,18
"all_info.7","BrowLe20","Brown,Levi","2009","crd",18,0,2,"ankle knee",3,6
"all_info.8","CampCa99","Campbell,Calais","2009","crd",18,0,2,"thumb",17,18
"all_info.9","DansKa20","Dansby,Karlos","2009","crd",18,0,3,"shoulder",10,12
"all_info.10","DaviWi99","Davis,Will","2009","crd",18,5,8,"knee",3,18
"all_info.11","DockDa20","Dockett,Darnell","2009","crd",18,0,4,"ankle",3,8
"all_info.12","DoucEa00","Doucet,Early","2009","crd",18,3,3,"ribs",1,3
"all_info.13","FitzLa00","Fitzgerald,Larry","2009","crd",18,0,3,"knee elbow",14,16
"all_info.14","GandMi20","Gandy,Mike","2009","crd",18,6,10,"pelvis hernia",9,18
"all_info.15","GrahBe20","Graham,Ben","2009","crd",18,0,3,"groin",13,18
"all_info.16","GreeJu00","Green,Justin","2009","crd",18,18,18,"knee",1,18
"all_info.17","HaggCl20","Haggans,Clark","2009","crd",18,0,0,"",Inf,-Inf
"all_info.18","HayeGe20","Hayes,Gerald","2009","crd",18,3,6,"back ankle",8,18
"all_info.19","HighAl01","Highsmith,Ali","2009","crd",18,0,2,"hamstring thigh",3,5
"all_info.20","HighTi00","Hightower,Tim","2009","crd",18,0,4,"thumb knee",12,17
"all_info.21","IwebKe99","Iwebema,Kenny","2009","crd",18,5,15,"ankle knee thumb shoulder head",2,17
"all_info.22","JohnHe23","Johnson,Herman","2009","crd",18,1,1,"back",8,8
"all_info.23","JohnRa98","Johnson,Rashad","2009","crd",18,0,2,"ankle",3,4
"all_info.24","KreiDa00","Kreider,Dan","2009","crd",18,1,3,"thigh neck",13,17
"all_info.25","LutuDe20","Lutui,Deuce","2009","crd",18,0,1,"back",17,17
