"","name","position","height","weight","birthday","birthplace","college","Player_id","first_year","last_year"
"1","Isaako Aaitui","NT","6-4",315,"1987-01-25","in Pago Pago, American Samoa","UNLV","AaitIs00",2013,2013
"2","Jared Abbrederis","WR","6-1",195,"1990-12-17","in West Allis, WI","Wisconsin (College Stats)","AbbrJa00",2015,2017
"3","Mehdi Abdesmad","DE","6-6",284,"1991-09-28","in Montreal, Quebec","Boston Col. (College Stats)","AbdeMe00",2016,2016
"4","Isa Abdul-Quddus","S","6-1",200,"1989-08-03","in Newark, NJ","Fordham","AbduIs00",2011,2016
"5","Ameer Abdullah","RB","5-9",196,"1993-06-13","in Homewood, AL","Nebraska (College Stats)","AbduAm00",2015,2021
"6","Hamza Abdullah","DB","6-2",216,"1983-08-20","in Los Angeles, CA","Washington St. (College Stats)","AbduHa20",2005,2011
"7","Husain Abdullah","DB","6-0",204,"1985-07-27","in Los Angeles, CA","Washington St. (College Stats)","AbduHu99",2008,2015
"8","Victor Abiamiri","DE","6-4",267,"1986-01-14","in Baltimore, MD","Notre Dame (College Stats)","AbiaVi99",2007,2009
"9","Oday Aboushi","OT","6-5",308,"1991-06-05","in Brooklyn, NY","Virginia (College Stats)","AbouOd00",2014,2021
"10","John Abraham","DE","6-4",263,"1978-05-06","in Timmonsville, SC","South Carolina","AbraJo00",2000,2014
"11","Johnathan Abram","S","6-0",205,"1996-10-25","in Columbia, MS","Mississippi St. (College Stats)","AbraJo01",2019,2021
"12","Delrick Abrams","DB","6-3",185,"1997-04-06","in Angie, LA","Colorado","AbraDe00",2020,2020
"13","Emmanuel Acho","OLB","6-1",238,"1990-11-10","in Dallas, TX","Texas (College Stats)","AchoEm00",2013,2014
"14","Sam Acho","ROLB","6-3",259,"1988-09-06","in Dallas, TX","Texas (College Stats)","AchoSa00",2011,2019
"15","Kenneth Acker","CB","6-0",195,"1992-02-06","in Portland, OR","SMU (College Stats)","AckeKe00",2015,2017
"16","Andrew Adams","S","5-11",205,"1992-10-28","in Fayetteville, VA","Connecticut (College Stats)","AdamAn00",2016,2021
"17","Anthony Adams","DT-NT","6-0",310,"1980-06-18","in Detroit, MI","Penn St.","AdamAn20",2003,2011
"18","Darvin Adams","WR","6-3",185,"1990-01-05","in Kennesaw, GA","Auburn (College Stats)","AdamDa00",2011,2011
"19","Davante Adams","WR","6-1",215,"1992-12-24","in Redwood City, CA","Fresno St. (College Stats)","AdamDa01",2014,2021
"20","Flozell Adams","T-G-TE","6-7",338,"1975-05-18","in Bellwood, FL","Michigan St.","AdamFl00",1998,2010
"21","Gaines Adams","DE","6-5",258,"1983-06-08","in Greenwood, SC","January 17, 2010 in Greenwood, SC","AdamGa99",2007,2009
"22","Jamal Adams","SS","6-1",213,"1995-10-17","in Lewisville, TX","LSU (College Stats)","AdamJa00",2017,2021
"23","Jamar Adams","DB","6-2",209,"1985-11-29","in Matthews, NC","Michigan (College Stats)","AdamJa20",2008,2010
"24","Jeff Adams","T","6-5",305,"1989-09-06","in Berwyn, IL","Columbia","AdamJe00",2014,2015
"25","Jerell Adams","TE","6-5",254,"1992-12-31","in Pinewood, SC","South Carolina (College Stats)","AdamJe01",2016,2019
"26","Joe Adams","WR","5-11",177,"1989-11-22","in Little Rock, AR","Arkansas (College Stats)","AdamJo01",2012,2012
"27","Johnny Adams","CB","5-10",185,"1989-06-09","in Des Plaines, IL","Michigan St. (College Stats)","AdamJo02",2013,2013
"28","Josh Adams","RB","6-2",225,"1996-10-29","in Warrington, PA","Notre Dame (College Stats)","AdamJo03",2018,2021
"29","Kris Adams","WR","6-3",194,"1987-09-04","in Fort Worth, TX","Texas-El Paso (College Stats)","AdamKr00",2012,2012
"30","Kyle Adams","TE","6-4",250,"1988-01-19","in Austin, TX","Purdue (College Stats)","AdamKy00",2011,2013
"31","Matthew Adams","LB","6-0",229,"1995-12-12","in Missouri City, TX","Houston (College Stats)","AdamMa00",2018,2021
"32","Michael Adams","DB","5-8",178,"1985-06-17","in Dallas, TX","Louisiana","AdamMi98",2007,2013
"33","Mike Adams","DB","5-11",205,"1981-03-24","in Paterson, NJ","Delaware","AdamMi21",2004,2019
"34","Mike Adams","OT","6-7",323,"1990-03-10","in Dublin, OH","Ohio St.","AdamMi02",2012,2016
"35","Montravius Adams","DT","6-3",304,"1995-07-24","in Americus, GA","Auburn (College Stats)","AdamMo00",2017,2021
"36","Phillip Adams","DB","6-0",193,"1988-07-20","in Rock Hill, SC","April 8, 2021 in Rock Hill, SC","AdamPh00",2010,2015
"37","Rodney Adams","WR","6-1",189,"1994-09-15","","South Florida (College Stats)","AdamRo01",2017,2017
"38","Titus Adams","DT","6-4",305,"1983-01-28","in Omaha, NE","Nebraska (College Stats)","AdamTi00",2009,2009
"39","Tyrell Adams","LB","6-2",230,"1992-04-11","in Atlanta, GA","West Georgia","AdamTy00",2016,2021
"40","Jahleel Addae","S","5-10",195,"1990-01-24","in Bronx, NY","Central Michigan (College Stats)","AddaJa00",2013,2021
"41","Joseph Addai","RB","5-11",214,"1983-05-03","in Houston, TX","LSU (College Stats)","AddaJo00",2006,2011
"42","Nasir Adderley","S","6-0",206,"1997-05-31","in Philadelphia, PA","Delaware","AddeNa00",2019,2021
"43","Bralon Addison","RB","5-9",197,"1993-10-12","in Missouri City, TX","Oregon (College Stats)","AddiBr01",2016,2016
"44","Mario Addison","DE","6-3",260,"1987-09-06","in Birmingham, AL","Troy (College Stats)","AddiMa00",2011,2021
"45","Paulson Adebo","CB","6-1",192,"1999-07-03","in Farmington, MI","Stanford (College Stats)","AdebPa00",2021,2021
"46","Quincy Adeboyejo","WR","6-3",200,"1995-05-26","in Cedar Hill, TX","Mississippi (College Stats)","AdebQu00",2017,2017
