"","X","Player_id","Player","year","team","games_in_season","num_games_missing","num_games_injured","injury_types","earliest_injury","latest_injury","name","full_team","head","shoulder","upper_torso","lower_torso","arm","hand","leg","foot"
"1","all_info","AdamMi98","Adams,Michael",2009,"crd",18,0,3,"hamstring",8,14,"Michael Adams","Arizona Cardinals",0,0,0,0,0,0,1,0
"2","all_info.1","BankJa00","Banks,Jason",2009,"crd",18,2,2,"ankle",17,18,"Jason Banks","Arizona Cardinals",0,0,0,0,0,0,0,1
"3","all_info.2","BerrBe99","Berry,Bertrand",2009,"crd",18,0,1,"illness",13,13,"Bertrand Berry","Arizona Cardinals",0,0,0,0,0,0,0,0
"4","all_info.3","BoldAn00","Boldin,Anquan",2009,"crd",18,3,8,"hamstring  ankle ankle knee",1,18,"Anquan Boldin","Arizona Cardinals",0,0,0,0,0,0,2,2
"5","all_info.4","BranAl99","Branch,Alan",2009,"crd",18,0,1,"ankle",13,13,"Alan Branch","Arizona Cardinals",0,0,0,0,0,0,0,1
"6","all_info.5","BreaSt00","Breaston,Steve",2009,"crd",18,1,11,"knee",1,11,"Steve Breaston","Arizona Cardinals",0,0,0,0,0,0,1,0
"7","all_info.6","BrowCo96","Brown,Cody",2009,"crd",18,18,18,"wrist",1,18,"Cody Brown","Arizona Cardinals",0,0,0,0,0,1,0,0
"8","all_info.7","BrowLe20","Brown,Levi",2009,"crd",18,0,2,"ankle knee",3,6,"Levi Brown","Arizona Cardinals",0,0,0,0,0,0,1,1
"9","all_info.8","CampCa99","Campbell,Calais",2009,"crd",18,0,2,"thumb",17,18,"Calais Campbell","Arizona Cardinals",0,0,0,0,0,1,0,0
"10","all_info.9","DansKa20","Dansby,Karlos",2009,"crd",18,0,3,"shoulder",10,12,"Karlos Dansby","Arizona Cardinals",0,1,0,0,0,0,0,0
"11","all_info.10","DaviWi99","Davis,Will",2009,"crd",18,5,8,"knee",3,18,"Will Davis","Arizona Cardinals",0,0,0,0,0,0,1,0
"12","all_info.11","DockDa20","Dockett,Darnell",2009,"crd",18,0,4,"ankle",3,8,"Darnell Dockett","Arizona Cardinals",0,0,0,0,0,0,0,1
"13","all_info.12","DoucEa00","Doucet,Early",2009,"crd",18,3,3,"ribs",1,3,"Early Doucet","Arizona Cardinals",0,0,1,0,0,0,0,0
"14","all_info.13","FitzLa00","Fitzgerald,Larry",2009,"crd",18,0,3,"knee elbow",14,16,"Larry Fitzgerald","Arizona Cardinals",0,0,0,0,1,0,1,0
"15","all_info.14","GandMi20","Gandy,Mike",2009,"crd",18,6,10,"pelvis hernia",9,18,"Mike Gandy","Arizona Cardinals",0,0,1,1,0,0,0,0
"16","all_info.15","GrahBe20","Graham,Ben",2009,"crd",18,0,3,"groin",13,18,"Ben Graham","Arizona Cardinals",0,0,0,0,0,0,1,0
"17","all_info.16","GreeJu00","Green,Justin",2009,"crd",18,18,18,"knee",1,18,"Justin Green","Arizona Cardinals",0,0,0,0,0,0,1,0
"18","all_info.17","HaggCl20","Haggans,Clark",2009,"crd",18,0,0,"",Inf,-Inf,"Clark Haggans","Arizona Cardinals",0,0,0,0,0,0,0,0
"19","all_info.18","HayeGe20","Hayes,Gerald",2009,"crd",18,3,6,"back ankle",8,18,"Gerald Hayes","Arizona Cardinals",0,0,1,0,0,0,0,1
"20","all_info.19","HighAl01","Highsmith,Ali",2009,"crd",18,0,2,"hamstring thigh",3,5,"Ali Highsmith","Arizona Cardinals",0,0,0,0,0,0,2,0
"21","all_info.20","HighTi00","Hightower,Tim",2009,"crd",18,0,4,"thumb knee",12,17,"Tim Hightower","Arizona Cardinals",0,0,0,0,0,1,1,0
"22","all_info.21","IwebKe99","Iwebema,Kenny",2009,"crd",18,5,15,"ankle knee thumb shoulder head",2,17,"Kenny Iwebema","Arizona Cardinals",1,1,0,0,0,1,1,1
"23","all_info.22","JohnHe23","Johnson,Herman",2009,"crd",18,1,1,"back",8,8,"Herman Johnson","Arizona Cardinals",0,0,1,0,0,0,0,0
"24","all_info.23","JohnRa98","Johnson,Rashad",2009,"crd",18,0,2,"ankle",3,4,"Rashad Johnson","Arizona Cardinals",0,0,0,0,0,0,0,1
"25","all_info.24","KreiDa00","Kreider,Dan",2009,"crd",18,1,3,"thigh neck",13,17,"Dan Kreider","Arizona Cardinals",1,0,0,0,0,0,1,0
"26","all_info.25","LutuDe20","Lutui,Deuce",2009,"crd",18,0,1,"back",17,17,"Deuce Lutui","Arizona Cardinals",0,0,1,0,0,0,0,0
"27","all_info.26","McFaBr20","McFadden,Bryant",2009,"crd",18,0,8,"groin ankle knee hamstring chest",3,18,"Bryant McFadden","Arizona Cardinals",0,0,1,0,0,0,3,1
"28","all_info.27","MoreSe00","Morey,Sean",2009,"crd",18,3,9,"ribs  illness head concussion head",1,17,"Sean Morey","Arizona Cardinals",3,0,1,0,0,0,0,0
"29","all_info.28","OkeaCh20","Okeafor,Chike",2009,"crd",18,3,5,"shoulder back",2,11,"Chike Okeafor","Arizona Cardinals",0,1,1,0,0,0,0,0
"30","all_info.29","PatrBe00","Patrick,Ben",2009,"crd",18,3,6,"served knee head",5,17,"Ben Patrick","Arizona Cardinals",1,0,0,0,0,0,1,0
"31","all_info.30","rackenei01","Rackers,Neil",2009,"crd",18,2,9,"hamstring groin",8,18,"Neil Rackers","Arizona Cardinals",0,0,0,0,0,0,2,0
"32","all_info.31","RodgDo99","Rodgers-Cromartie,Dominique",2009,"crd",18,0,9,"finger ankle toe knee toe knee",4,18,"Dominique Rodgers-Cromartie","Arizona Cardinals",0,0,0,0,0,1,2,3
"33","all_info.32","RollAn20","Rolle,Antrel",2009,"crd",18,1,7,"quadriceps foot thigh",3,18,"Antrel Rolle","Arizona Cardinals",0,0,0,0,0,0,2,1
"34","all_info.33","SpacSt00","Spach,Stephen",2009,"crd",18,7,7,"ankle knee",5,14,"Stephen Spach","Arizona Cardinals",0,0,0,0,0,0,1,1
"35","all_info.34","St.PBr20","St. Pierre,Brian",2009,"crd",18,4,4,"back",1,17,"Brian St. Pierre","Arizona Cardinals",0,0,1,0,0,0,0,0
"36","all_info.35","TogaPa99","Togafau,Pago",2009,"crd",18,14,16,"foot",1,16,"Pago Togafau","Arizona Cardinals",0,0,0,0,0,0,0,1
"37","all_info.36","ToleGr99","Toler,Greg",2009,"crd",18,0,1,"elbow",16,16,"Greg Toler","Arizona Cardinals",0,0,0,0,1,0,0,0
"38","all_info.37","WareMa20","Ware,Matt",2009,"crd",18,7,7,"shoulder knee",2,18,"Matt Ware","Arizona Cardinals",0,1,0,0,0,0,1,0
"39","all_info.38","WarnKu00","Warner,Kurt",2009,"crd",18,1,4,"shoulder head",3,12,"Kurt Warner","Arizona Cardinals",1,1,0,0,0,0,0,0
"40","all_info.39","WellCh00","Wells,Beanie",2009,"crd",18,0,2,"hip groin",6,16,"Beanie Wells","Arizona Cardinals",0,0,0,1,0,0,1,0
