"name","full_team","team","year","games_in_season","num_games_injured","num_games_missing","injury_types","earliest_injury","latest_injury","head","shoulder","upper_torso","lower_torso","arm","hand","leg","foot","short_team_name","injury","total_injuries","position_id","NFL_draft_year","NFL_draft_round","NFL_draft_rank","height_inches","weight_pounds","birthdate","forty_yd","three_cone","bench","broad_jump","combine_height","combine_weight","shuttle","vertical","game_starter","age","bmi"
"Michael Adams","Arizona Cardinals","crd",2009,16,3,0,"hamstring",8,14,0,0,0,0,0,0,1,0,"ARI","1",1,"DEF",NA,NA,NA,68,178,"1985-06-17",NA,NA,NA,NA,NA,NA,NA,NA,0,24,27.0618512110727
"Anquan Boldin","Arizona Cardinals","crd",2009,16,6,1,"hamstring  ankle",1,9,0,0,0,0,0,0,1,1,"ARI","1",2,"WR",2003,2,54,73,220,"1980-10-03",4.72,7.35,0,114,73,216,4.33,33.5,1,29,29.022330643648
"Alan Branch","Arizona Cardinals","crd",2009,16,1,0,"ankle",13,13,0,0,0,0,0,0,0,1,"ARI","1",1,"DEF",2007,2,33,78,350,"1984-12-29",5.07,0,33,107,78,324,0,27.5,0,24,40.4421433267587
"Steve Breaston","Arizona Cardinals","crd",2009,16,11,1,"knee",1,11,0,0,0,0,0,0,1,0,"ARI","1",1,"WR",2007,5,142,73,175,"1983-08-20",4.46,6.9,0,124,72,193,4.29,33,1,26,23.0859448301745
"Levi Brown","Arizona Cardinals","crd",2009,16,2,0,"ankle knee",3,6,0,0,0,0,0,0,1,1,"ARI","1",2,"OL",2007,1,5,78,323,"1984-03-16",5.4,7.87,31,97,77,323,4.89,25.5,1,25,37.3223208415516
"Karlos Dansby","Arizona Cardinals","crd",2009,16,3,0,"shoulder",10,12,0,1,0,0,0,0,0,0,"ARI","1",1,"DEF",2004,2,33,76,250,"1981-11-03",4.58,0,0,0,75,251,0,0,1,28,30.4276315789474
"Will Davis","Arizona Cardinals","crd",2009,16,7,5,"knee",3,16,0,0,0,0,0,0,1,0,"ARI","1",1,"DEF",2009,6,204,74,262,"1986-06-02",4.84,7.38,27,115,74,261,4.45,33,0,23,33.6351351351351
"Darnell Dockett","Arizona Cardinals","crd",2009,16,4,0,"ankle",3,8,0,0,0,0,0,0,0,1,"ARI","1",1,"DEF",2004,3,64,76,290,"1981-05-27",5,0,26,105,75,297,0,31,1,28,35.2960526315789
"Early Doucet","Arizona Cardinals","crd",2009,16,3,3,"ribs",1,3,0,0,1,0,0,0,0,0,"ARI","1",1,"WR",2008,3,81,72,211,"1985-10-28",4.59,0,0,0,72,209,0,0,0,24,28.6136188271605
"Larry Fitzgerald","Arizona Cardinals","crd",2009,16,3,0,"knee elbow",14,16,0,0,0,0,1,0,1,0,"ARI","1",2,"WR",2004,1,3,75,218,"1983-08-31",4.48,NA,NA,NA,75,225,NA,NA,1,26,27.2451555555556
"Mike Gandy","Arizona Cardinals","crd",2009,16,8,4,"pelvis hernia",9,16,0,0,1,1,0,0,0,0,"ARI","1",2,"OL",2001,3,68,76,316,"1979-01-03",5.2,8.03,0,103,76,305,4.71,30.5,1,30,38.4605263157895
"Ben Graham","Arizona Cardinals","crd",2009,16,2,0,"groin",13,14,0,0,0,0,0,0,1,0,"ARI","1",1,"P",NA,NA,NA,77,236,"1973-11-02",NA,NA,NA,NA,NA,NA,NA,NA,0,36,27.9824590993422
