"name","full_team","team","year","games_in_season","num_games_injured","num_games_missing","injury_types","earliest_injury","latest_injury","head","shoulder","upper_torso","lower_torso","arm","hand","leg","foot","total_injuries"
"Michael Adams","Arizona Cardinals","crd",2009,16,3,0,"hamstring",8,14,0,0,0,0,0,0,1,0,1
"Anquan Boldin","Arizona Cardinals","crd",2009,16,6,1,"hamstring  ankle",1,9,0,0,0,0,0,0,1,1,2
"Alan Branch","Arizona Cardinals","crd",2009,16,1,0,"ankle",13,13,0,0,0,0,0,0,0,1,1
"Steve Breaston","Arizona Cardinals","crd",2009,16,11,1,"knee",1,11,0,0,0,0,0,0,1,0,1
"Cody Brown","Arizona Cardinals","crd",2009,16,16,16,"wrist",1,16,0,0,0,0,0,1,0,0,1
"Levi Brown","Arizona Cardinals","crd",2009,16,2,0,"ankle knee",3,6,0,0,0,0,0,0,1,1,2
"Karlos Dansby","Arizona Cardinals","crd",2009,16,3,0,"shoulder",10,12,0,1,0,0,0,0,0,0,1
"Will Davis","Arizona Cardinals","crd",2009,16,7,5,"knee",3,16,0,0,0,0,0,0,1,0,1
"Darnell Dockett","Arizona Cardinals","crd",2009,16,4,0,"ankle",3,8,0,0,0,0,0,0,0,1,1
"Early Doucet","Arizona Cardinals","crd",2009,16,3,3,"ribs",1,3,0,0,1,0,0,0,0,0,1
"Larry Fitzgerald","Arizona Cardinals","crd",2009,16,3,0,"knee elbow",14,16,0,0,0,0,1,0,1,0,2
"Mike Gandy","Arizona Cardinals","crd",2009,16,8,4,"pelvis hernia",9,16,0,0,1,1,0,0,0,0,2
"Ben Graham","Arizona Cardinals","crd",2009,16,2,0,"groin",13,14,0,0,0,0,0,0,1,0,1
"Justin Green","Arizona Cardinals","crd",2009,16,16,16,"knee",1,16,0,0,0,0,0,0,1,0,1
"Gerald Hayes","Arizona Cardinals","crd",2009,16,5,2,"back",8,14,0,0,1,0,0,0,0,0,1
"Ali Highsmith","Arizona Cardinals","crd",2009,16,2,0,"hamstring thigh",3,5,0,0,0,0,0,0,2,0,2
"Tim Hightower","Arizona Cardinals","crd",2009,16,3,0,"thumb",12,14,0,0,0,0,0,1,0,0,1
"Kenny Iwebema","Arizona Cardinals","crd",2009,16,14,5,"ankle knee thumb shoulder head",2,16,1,1,0,0,0,1,1,1,5
"Herman Johnson","Arizona Cardinals","crd",2009,16,1,1,"back",8,8,0,0,1,0,0,0,0,0,1
"Rashad Johnson","Arizona Cardinals","crd",2009,16,2,0,"ankle",3,4,0,0,0,0,0,0,0,1,1
"Dan Kreider","Arizona Cardinals","crd",2009,16,2,1,"thigh neck",13,16,1,0,0,0,0,0,1,0,2
"Bryant McFadden","Arizona Cardinals","crd",2009,16,7,0,"groin ankle knee hamstring",3,15,0,0,0,0,0,0,3,1,4
"Sean Morey","Arizona Cardinals","crd",2009,16,8,3,"ribs  illness head concussion head",1,16,3,0,1,0,0,0,0,0,4
"Chike Okeafor","Arizona Cardinals","crd",2009,16,5,3,"shoulder back",2,11,0,1,1,0,0,0,0,0,2
"Ben Patrick","Arizona Cardinals","crd",2009,16,5,3,"served knee head",5,16,1,0,0,0,0,0,1,0,2
"Neil Rackers","Arizona Cardinals","crd",2009,16,7,2,"hamstring groin",8,16,0,0,0,0,0,0,2,0,2
"Dominique Rodgers-Cromartie","Arizona Cardinals","crd",2009,16,7,0,"finger ankle toe",4,15,0,0,0,0,0,1,0,2,3
"Antrel Rolle","Arizona Cardinals","crd",2009,16,5,1,"quadriceps foot thigh",3,16,0,0,0,0,0,0,2,1,3
"Stephen Spach","Arizona Cardinals","crd",2009,16,7,7,"ankle knee",5,14,0,0,0,0,0,0,1,1,2
"Brian St. Pierre","Arizona Cardinals","crd",2009,16,3,3,"back",1,3,0,0,1,0,0,0,0,0,1
"Pago Togafau","Arizona Cardinals","crd",2009,16,16,14,"foot",1,16,0,0,0,0,0,0,0,1,1
"Greg Toler","Arizona Cardinals","crd",2009,16,1,0,"elbow",16,16,0,0,0,0,1,0,0,0,1
"Matt Ware","Arizona Cardinals","crd",2009,16,5,5,"shoulder knee",2,16,0,1,0,0,0,0,1,0,2
"Kurt Warner","Arizona Cardinals","crd",2009,16,4,1,"shoulder head",3,12,1,1,0,0,0,0,0,0,2
"Beanie Wells","Arizona Cardinals","crd",2009,16,2,0,"hip groin",6,16,0,0,0,1,0,0,1,0,2
