"","X","name","full_team","team","year","games_in_season","num_games_missing","num_games_injured","injury_types","earliest_injury","latest_injury","position_id","NFL_draft_year","NFL_draft_round","NFL_draft_rank","height_inches","weight_pounds","birthdate","forty_yd","three_cone","bench","broad_jump","combine_height","combine_weight","shuttle","vertical","game_starter","head","shoulder","upper_torso","lower_torso","arm","hand","leg","foot"
"1",18,"Michael Adams","Arizona Cardinals","crd",2009,18,0,3,"hamstring",8,14,"DEF",NA,NA,NA,68,178,"1985-06-17",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0
"2",19,"Jason Banks","Arizona Cardinals","crd",2009,18,2,2,"ankle",17,18,"DEF",NA,NA,NA,77,300,"1985-05-08",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1
"3",36,"Bertrand Berry","Arizona Cardinals","crd",2009,18,0,1,"illness",13,13,"DEF",1997,3,86,75,254,"1975-08-15",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
"4",51,"Anquan Boldin","Arizona Cardinals","crd",2009,18,3,8,"hamstring  ankle ankle knee",1,18,"WR",2003,2,54,73,220,"1980-10-03",4.72,7.35,0,114,73,216,4.33,33.5,1,0,0,0,0,0,0,2,2
"5",69,"Alan Branch","Arizona Cardinals","crd",2009,18,0,1,"ankle",13,13,"DEF",2007,2,33,78,350,"1984-12-29",5.07,0,33,107,78,324,0,27.5,0,0,0,0,0,0,0,0,1
"6",86,"Steve Breaston","Arizona Cardinals","crd",2009,18,1,11,"knee",1,11,"WR",2007,5,142,73,175,"1983-08-20",4.46,6.9,0,124,72,193,4.29,33,1,0,0,0,0,0,0,1,0
"7",87,"Cody Brown","Arizona Cardinals","crd",2009,18,18,18,"wrist",1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0
"8",105,"Levi Brown","Arizona Cardinals","crd",2009,18,0,2,"ankle knee",3,6,"OL",2007,1,5,78,323,"1984-03-16",5.4,7.87,31,97,77,323,4.89,25.5,1,0,0,0,0,0,0,1,1
"9",123,"Calais Campbell","Arizona Cardinals","crd",2009,18,0,2,"thumb",17,18,"DEF",2008,2,50,80,300,"1986-09-01",5.04,7.45,16,111,80,290,4.69,29.5,1,0,0,0,0,0,1,0,0
"10",141,"Karlos Dansby","Arizona Cardinals","crd",2009,18,0,3,"shoulder",10,12,"DEF",2004,2,33,76,250,"1981-11-03",4.58,0,0,0,75,251,0,0,1,0,1,0,0,0,0,0,0
"11",154,"Will Davis","Arizona Cardinals","crd",2009,18,5,8,"knee",3,18,"DEF",2009,6,204,74,262,"1986-06-02",4.84,7.38,27,115,74,261,4.45,33,0,0,0,0,0,0,0,1,0
"12",172,"Darnell Dockett","Arizona Cardinals","crd",2009,18,0,4,"ankle",3,8,"DEF",2004,3,64,76,290,"1981-05-27",5,0,26,105,75,297,0,31,1,0,0,0,0,0,0,0,1
"13",183,"Early Doucet","Arizona Cardinals","crd",2009,18,3,3,"ribs",1,3,"WR",2008,3,81,72,211,"1985-10-28",4.59,0,0,0,72,209,0,0,0,0,0,1,0,0,0,0,0
"14",201,"Larry Fitzgerald","Arizona Cardinals","crd",2009,18,0,3,"knee elbow",14,16,"WR",2004,1,3,75,218,"1983-08-31",4.48,NA,NA,NA,75,225,NA,NA,1,0,0,0,0,1,0,1,0
"15",213,"Mike Gandy","Arizona Cardinals","crd",2009,18,6,10,"pelvis hernia",9,18,"OL",2001,3,68,76,316,"1979-01-03",5.2,8.03,0,103,76,305,4.71,30.5,1,0,0,1,1,0,0,0,0
"16",231,"Ben Graham","Arizona Cardinals","crd",2009,18,0,3,"groin",13,18,"P",NA,NA,NA,77,236,"1973-11-02",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0
"17",232,"Justin Green","Arizona Cardinals","crd",2009,18,18,18,"knee",1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0
"18",250,"Clark Haggans","Arizona Cardinals","crd",2009,18,0,0,"",Inf,-Inf,"DEF",2000,5,137,76,243,"1977-01-10",4.97,7.12,20,109,75,253,4.21,31.5,1,0,0,0,0,0,0,0,0
"19",265,"Gerald Hayes","Arizona Cardinals","crd",2009,18,3,6,"back ankle",8,18,"DEF",2003,3,70,73,250,"1980-10-10",4.75,7.57,0,107,73,238,4.35,30.5,1,0,0,1,0,0,0,0,1
"20",279,"Ali Highsmith","Arizona Cardinals","crd",2009,18,0,2,"hamstring thigh",3,5,"DEF",NA,NA,NA,72,229,"1985-01-20",4.95,7.4,0,112,72,230,4.29,26.5,0,0,0,0,0,0,0,2,0
"21",297,"Tim Hightower","Arizona Cardinals","crd",2009,18,0,4,"thumb knee",12,17,"RB",2008,5,149,72,226,"1986-05-23",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,1,0
"22",310,"Kenny Iwebema","Arizona Cardinals","crd",2009,18,5,15,"ankle knee thumb shoulder head",2,17,"DEF",2008,4,116,76,268,"1985-02-06",4.91,7.62,26,109,76,274,4.75,29,0,1,1,0,0,0,1,1,1
"23",311,"Herman Johnson","Arizona Cardinals","crd",2009,18,1,1,"back",8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0
"24",321,"Rashad Johnson","Arizona Cardinals","crd",2009,18,0,2,"ankle",3,4,"DEF",2009,3,95,72,195,"1986-01-02",4.49,7.09,15,120,71,203,4.23,37,1,0,0,0,0,0,0,0,1
"25",337,"Dan Kreider","Arizona Cardinals","crd",2009,18,1,3,"thigh neck",13,17,"RB",NA,NA,NA,71,250,"1977-03-11",NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,1,0
"26",355,"Deuce Lutui","Arizona Cardinals","crd",2009,18,0,1,"back",17,17,"OL",2006,2,41,76,338,"1983-05-05",5.35,8.04,26,97,76,334,4.76,28,1,0,0,1,0,0,0,0,0
"27",373,"Bryant McFadden","Arizona Cardinals","crd",2009,18,0,8,"groin ankle knee hamstring chest",3,18,"DEF",2005,2,62,72,190,"1981-11-21",4.44,0,23,130,72,193,4.04,38.5,1,0,0,1,0,0,0,3,1
"28",388,"Sean Morey","Arizona Cardinals","crd",2009,18,3,9,"ribs  illness head concussion head",1,17,"WR",1999,7,241,71,193,"1976-02-26",NA,NA,NA,NA,NA,NA,NA,NA,0,3,0,1,0,0,0,0,0
"29",403,"Chike Okeafor","Arizona Cardinals","crd",2009,18,3,5,"shoulder back",2,11,"DEF",1999,3,89,76,256,"1976-03-27",NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,0,0,0,0
"30",414,"Ben Patrick","Arizona Cardinals","crd",2009,18,3,6,"served knee head",5,17,"TE",2007,7,215,75,252,"1984-08-23",4.74,7.21,0,111,75,252,4.31,34.5,1,1,0,0,0,0,0,1,0
"31",430,"Neil Rackers","Arizona Cardinals","crd",2009,18,2,9,"hamstring groin",8,18,"K",2000,6,169,73,202,"1976-08-16",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,2,0
"32",448,"Dominique Rodgers-Cromartie","Arizona Cardinals","crd",2009,18,0,9,"finger ankle toe knee toe knee",4,18,"DEF",2008,1,16,74,205,"1986-04-07",4.29,6.74,17,131,73,184,4.17,38.5,1,0,0,0,0,0,1,2,3
"33",465,"Antrel Rolle","Arizona Cardinals","crd",2009,18,1,7,"quadriceps foot thigh",3,18,"DEF",2005,1,8,72,206,"1982-12-16",4.48,0,15,0,72,201,0,0,1,0,0,0,0,0,0,2,1
"34",472,"Stephen Spach","Arizona Cardinals","crd",2009,18,7,7,"ankle knee",5,14,"TE",NA,NA,NA,76,260,"1982-07-18",NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1,1
"35",473,"Brian St. Pierre","Arizona Cardinals","crd",2009,18,4,4,"back",1,17,"QB",2003,5,163,75,224,"1979-11-28",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0
"36",475,"Pago Togafau","Arizona Cardinals","crd",2009,18,14,16,"foot",1,16,"DEF",NA,NA,NA,70,210,"1984-01-10",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1
"37",490,"Greg Toler","Arizona Cardinals","crd",2009,18,0,1,"elbow",16,16,"DEF",2009,4,131,71,191,"1985-01-02",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0
"38",501,"Matt Ware","Arizona Cardinals","crd",2009,18,7,7,"shoulder knee",2,18,"DEF",2004,3,89,74,210,"1982-12-02",4.54,0,15,0,74,209,0,0,0,0,1,0,0,0,0,1,0
