"","Team","Position","Injury","Injury Status","Date","Short_Name","Full_Name"
"1","ARI","DB","Hamstring","IR. Injured Reserve. Expected Return - Week 8",2021-10-27,"C. Washington","Charles Washington"
"2","ARI","NT","Undisclosed","Questionable for Week 9 at San Francisco",2021-10-27,"X. Williams","Xavier Williams"
"3","ARI","DT","Calf","Questionable for Week 9 at San Francisco",2021-10-27,"R. Lawrence","Rashard Lawrence"
"4","ARI","OG","Achilles","Questionable for Week 9 at San Francisco",2021-10-27,"M. Garcia","Max Garcia"
"5","ARI","DT","Illness","IR. Reserve - COVID-19",2021-10-27,"C. Peters","Corey Peters"
"6","ARI","DE","Shoulder","Questionable for Week 9 at San Francisco",2021-10-27,"J. Watt","J.J. Watt"
"7","ATL","P","Undisclosed","Questionable for Week 8 vs. Carolina",2021-10-27,"S. Hofrichter","Sterling Hofrichter"
"8","ATL","WR","Lower Leg","Questionable for Week 8 vs. Carolina",2021-10-27,"J. Badet","Jeff Badet"
"9","ATL","WR","Undisclosed","Questionable for Week 8 vs. Carolina",2021-10-27,"J. Moore","J'Mon Moore"
"10","BAL","DE","Back","IR. Injured Reserve. Expected Return - Week 9",2021-10-27,"D. Wolfe","Derek Wolfe"
"11","BAL","CB","Knee - Meniscus","IR. Injured Reserve. Expected Return - Week 9",2021-10-27,"C. Westry","Chris Westry"
"12","BAL","WR","Undisclosed","Questionable for Week 9 vs. Minnesota",2021-10-27,"D. Sylencieux","Donte Sylencieux"
"13","BAL","RB","Ankle","Questionable for Week 9 vs. Minnesota",2021-10-27,"L. Murray","Latavius Murray"
"14","BAL","LB","Ankle","IR. Injured Reserve. Expected Return - Week 9",2021-10-27,"D. Hayes","Daelin Hayes"
"15","BAL","WR","Thigh","Questionable for Week 9 vs. Minnesota",2021-10-27,"S. Watkins","Sammy Watkins"
"16","BAL","OT","Ankle","Questionable for Week 9 vs. Minnesota",2021-10-27,"P. Mekari","Patrick Mekari"
"17","BAL","TE","Knee - MCL","IR. Injured Reserve. Expected Return - Week 9",2021-10-27,"N. Boyle","Nick Boyle"
"18","CAR","DB","Wrist","IR. Injured Reserve. Expected Return - Week 8",2021-10-27,"M. Hartsfield","Myles Hartsfield"
"19","CAR","CB","Shoulder","Questionable for Week 8 at Atlanta",2021-10-27,"C. Henderson","C.J. Henderson"
"20","CAR","OLB","Foot","Limited Practice on Thursday. Questionable for Week 8 at Atlanta",2021-10-27,"S. Green-Thompson","Shaq Green-Thompson"
